Experiment,A_pos,A_neg,Ratio_An_Ap,Tau,Sigma,Precision,Recall,F1,SHD,Sparsity
Amplitude,0.01,0.008,0.8,10,1.5,0.17857142857142858,1.0,0.30303030303030304,161,0.1288888888888889
Amplitude,0.01,0.01,1.0,10,1.5,0.2857142857142857,0.11428571428571428,0.16326530612244897,41,0.1288888888888889
Amplitude,0.01,0.011000000000000001,1.1,10,1.5,0.2857142857142857,0.11428571428571428,0.16326530612244897,41,0.9377777777777778
Amplitude,0.01,0.012,1.2,10,1.5,0.2857142857142857,0.11428571428571428,0.16326530612244897,41,0.9377777777777778
Amplitude,0.01,0.015,1.5,10,1.5,0.2857142857142857,0.11428571428571428,0.16326530612244897,41,0.9377777777777778
Amplitude,0.01,0.02,2.0,10,1.5,0.2857142857142857,0.11428571428571428,0.16326530612244897,41,0.9377777777777778
Amplitude,0.05,0.04000000000000001,0.8,10,1.5,0.17857142857142858,1.0,0.30303030303030304,161,0.1288888888888889
Amplitude,0.05,0.05,1.0,10,1.5,0.2857142857142857,0.11428571428571428,0.16326530612244897,41,0.9377777777777778
Amplitude,0.05,0.05500000000000001,1.1,10,1.5,0.2857142857142857,0.11428571428571428,0.16326530612244897,41,0.9377777777777778
Amplitude,0.05,0.06,1.2,10,1.5,0.2857142857142857,0.11428571428571428,0.16326530612244897,41,0.9377777777777778
Amplitude,0.05,0.07500000000000001,1.5,10,1.5,0.2857142857142857,0.11428571428571428,0.16326530612244897,41,0.9377777777777778
Amplitude,0.05,0.1,2.0,10,1.5,0.2857142857142857,0.11428571428571428,0.16326530612244897,41,0.9377777777777778
Amplitude,0.1,0.08000000000000002,0.8,10,1.5,0.17857142857142858,1.0,0.30303030303030304,161,0.1288888888888889
Amplitude,0.1,0.1,1.0,10,1.5,0.2857142857142857,0.11428571428571428,0.16326530612244897,41,0.9377777777777778
Amplitude,0.1,0.11000000000000001,1.1,10,1.5,0.2857142857142857,0.11428571428571428,0.16326530612244897,41,0.9377777777777778
Amplitude,0.1,0.12,1.2,10,1.5,0.2857142857142857,0.11428571428571428,0.16326530612244897,41,0.9377777777777778
Amplitude,0.1,0.15000000000000002,1.5,10,1.5,0.2857142857142857,0.11428571428571428,0.16326530612244897,41,0.9377777777777778
Amplitude,0.1,0.2,2.0,10,1.5,0.2857142857142857,0.11428571428571428,0.16326530612244897,41,0.9377777777777778
TauSigma,0.05,0.06,1.2,5,1.0,0.2857142857142857,0.11428571428571428,0.16326530612244897,41,0.9377777777777778
TauSigma,0.05,0.06,1.2,5,1.5,0.2857142857142857,0.11428571428571428,0.16326530612244897,41,0.9377777777777778
TauSigma,0.05,0.06,1.2,5,2.0,0.2857142857142857,0.11428571428571428,0.16326530612244897,41,0.9377777777777778
TauSigma,0.05,0.06,1.2,5,3.0,0.2857142857142857,0.11428571428571428,0.16326530612244897,41,0.9377777777777778
TauSigma,0.05,0.06,1.2,10,1.0,0.2857142857142857,0.11428571428571428,0.16326530612244897,41,0.9377777777777778
TauSigma,0.05,0.06,1.2,10,1.5,0.2857142857142857,0.11428571428571428,0.16326530612244897,41,0.9377777777777778
TauSigma,0.05,0.06,1.2,10,2.0,0.2857142857142857,0.11428571428571428,0.16326530612244897,41,0.9377777777777778
TauSigma,0.05,0.06,1.2,10,3.0,0.2857142857142857,0.11428571428571428,0.16326530612244897,41,0.9377777777777778
TauSigma,0.05,0.06,1.2,20,1.0,0.2857142857142857,0.11428571428571428,0.16326530612244897,41,0.9377777777777778
TauSigma,0.05,0.06,1.2,20,1.5,0.2857142857142857,0.11428571428571428,0.16326530612244897,41,0.9377777777777778
TauSigma,0.05,0.06,1.2,20,2.0,0.2857142857142857,0.11428571428571428,0.16326530612244897,41,0.9377777777777778
TauSigma,0.05,0.06,1.2,20,3.0,0.2857142857142857,0.11428571428571428,0.16326530612244897,41,0.9377777777777778
TauSigma,0.05,0.06,1.2,50,1.0,0.2857142857142857,0.11428571428571428,0.16326530612244897,41,0.9377777777777778
TauSigma,0.05,0.06,1.2,50,1.5,0.2857142857142857,0.11428571428571428,0.16326530612244897,41,0.9377777777777778
TauSigma,0.05,0.06,1.2,50,2.0,0.2857142857142857,0.11428571428571428,0.16326530612244897,41,0.9377777777777778
TauSigma,0.05,0.06,1.2,50,3.0,0.2857142857142857,0.11428571428571428,0.16326530612244897,41,0.9377777777777778
