Experiment,A_pos,Ratio,Tau,Sigma,Sparsity,Jaccard_vs_Base,Degree_Rank_Corr
Amplitude,0.01,0.8,10,1.5,0.4912,0.062058130400628436,0.5239193234655577
Amplitude,0.01,1.0,10,1.5,0.8476,0.20680628272251309,0.7598463235446574
Amplitude,0.01,1.1,10,1.5,0.9296,0.4463276836158192,0.9256964724194807
Amplitude,0.01,1.2,10,1.5,0.968,1.0,1.0
Amplitude,0.01,1.5,10,1.5,0.9996,0.0125,0.15927737986565696
Amplitude,0.01,2.0,10,1.5,1.0,0.0,0.0
Amplitude,0.05,0.8,10,1.5,0.296,0.045454545454545456,0.5172910811994919
Amplitude,0.05,1.0,10,1.5,0.8228,0.17792792792792791,0.7598463235446574
Amplitude,0.05,1.1,10,1.5,0.9296,0.4463276836158192,0.9256964724194807
Amplitude,0.05,1.2,10,1.5,0.968,1.0,1.0
Amplitude,0.05,1.5,10,1.5,0.9996,0.0125,0.15927737986565696
Amplitude,0.05,2.0,10,1.5,1.0,0.0,0.0
Amplitude,0.1,0.8,10,1.5,0.1524,0.037753657385559226,0.4859750380293833
Amplitude,0.1,1.0,10,1.5,0.6756,0.09864364981504316,0.7244956981256392
Amplitude,0.1,1.1,10,1.5,0.876,0.25806451612903225,0.9206052138672851
Amplitude,0.1,1.2,10,1.5,0.9596,0.7920792079207921,0.9999039154455921
Amplitude,0.1,1.5,10,1.5,0.9996,0.0125,0.15927737986565696
Amplitude,0.1,2.0,10,1.5,1.0,0.0,0.0
TauSigma,0.05,1.2,5,1.0,0.9956,0.03409090909090909,0.3170592039321844
TauSigma,0.05,1.2,5,1.5,0.9508,0.4097222222222222,0.8863112647515528
TauSigma,0.05,1.2,5,2.0,0.9016,0.08305647840531562,0.4367435284444735
TauSigma,0.05,1.2,5,3.0,0.9424,0.037037037037037035,0.3628176252182088
TauSigma,0.05,1.2,10,1.0,0.9988,0.012195121951219513,0.22622004568200987
TauSigma,0.05,1.2,10,1.5,0.968,1.0,1.0
TauSigma,0.05,1.2,10,2.0,0.9328,0.08771929824561403,0.4678674486503482
TauSigma,0.05,1.2,10,3.0,0.9584,0.027932960893854747,0.33452616016842734
TauSigma,0.05,1.2,20,1.0,1.0,0.0,0.0
TauSigma,0.05,1.2,20,1.5,0.9876,0.3373493975903614,0.8366533539032848
TauSigma,0.05,1.2,20,2.0,0.97,0.05442176870748299,0.4329971306419144
TauSigma,0.05,1.2,20,3.0,0.972,0.013513513513513514,0.3035928774993962
TauSigma,0.05,1.2,50,1.0,1.0,0.0,0.0
TauSigma,0.05,1.2,50,1.5,0.9988,0.012195121951219513,0.28114564943059017
TauSigma,0.05,1.2,50,2.0,0.9748,0.043795620437956206,0.356724313841098
TauSigma,0.05,1.2,50,3.0,0.9608,0.047058823529411764,0.3242470879771654
