,BLOC1S3-AS-1,LINC-ADAMTS19-1,ABHD2-AS-1,AC116366.3-AS-3,AC119396.1-AS-3,ARHGEF5-AS-1,ARL6IP5-AS-1,ARPC1B-AS-1,ATXN3-AS-1,BCAS3-AS-1,CHD4-AS-2,CHST11-AS-1,CREB3L2-AS-1,CRY1-AS-1,DENND1A-AS-1,EIF4EBP2-AS-1,ENSG00000001460.18,ENSG00000004864.13,ENSG00000006756.16,ENSG00000011243.18,ENSG00000014257.16,ENSG00000031081.11,ENSG00000048462.11,ENSG00000063761.16,ENSG00000072952.18,ENSG00000075711.21,ENSG00000078053.17,ENSG00000094916.16,ENSG00000099381.18,ENSG00000103365.15,ENSG00000103381.12,ENSG00000105373.19,ENSG00000106399.11,ENSG00000106692.14,ENSG00000108666.10,ENSG00000110066.15,ENSG00000110448.11,ENSG00000112357.13,ENSG00000114779.19,ENSG00000117425.14,ENSG00000119013.9,ENSG00000119812.19,ENSG00000120162.10,ENSG00000122986.13,ENSG00000123159.16,ENSG00000125484.12,ENSG00000125618.17,ENSG00000125810.10,ENSG00000127399.15,ENSG00000127616.18
BLOC1S3-AS-1,0.0,0.033572771667625456,0.0,0.016120706786036585,0.0,0.09108981684938189,0.044418561210136015,0.041614278101649554,0.007130833564711395,0.021340041305516543,0.009743995531898739,0.0,0.03206243886285355,0.07540058388056389,0.05017957193763372,0.038863097158496465,0.018534409359567256,0.05037912550236429,0.06808715179564961,0.025018835717230965,0.0,0.0,0.009998038359206955,0.0,0.031733668666470344,0.012734162089253638,0.01794089638221547,0.044418561210136015,0.030110037127526128,0.02903651040247591,0.026838065180498836,0.0,0.0350342452438094,0.04564442642830557,0.0,0.004333538874308641,0.0,0.0,0.02854981888614569,0.0,0.0,0.07462608332725154,0.0,0.018550858553780053,0.03932927846199799,0.019327317145895424,0.030558074950982072,0.019952435353484326,0.11225548013051413,0.0
LINC-ADAMTS19-1,0.0,0.0,0.0,0.04262070769613709,0.0,0.1424793352347957,0.05378115830345233,0.05193555916884267,0.0,0.02065116074931904,0.06687748796541784,0.0,0.0,0.117938815107971,0.04475516160445536,0.0,0.02899084020431464,0.06310445334734516,0.04801158932865089,0.03913354098882261,0.0,0.0,0.0,0.004795608603421528,0.0,0.09253050949463851,0.014906527748988388,0.05378115830345233,0.0,0.0,0.0,0.0,0.03910255704194844,0.03766145410001956,0.0,0.0,0.0,0.0,0.02895985625744047,0.0,0.0,0.0,0.0,0.0,0.03266472842308531,0.0,0.04779781490032199,0.0,0.1755858858724558,0.0
ABHD2-AS-1,0.008055285692946317,0.0,0.0,0.06338990688765668,0.0,0.031151664438506525,0.0,0.0,0.0,0.05091929871604801,0.0,0.0,0.0,0.0,0.005481057387899023,0.0,0.0417500776633631,0.0,0.0,0.00635671005087283,0.010981912551044325,0.0,0.05712288421199291,0.0,0.009000120996491612,0.09134725984439376,0.0,0.0,0.025727909965644953,0.033526175246953324,0.0,0.0,0.02622914233443876,0.04526531899797477,0.0,0.041675204250077175,0.0,0.0,0.06162250994692903,0.08826189764598524,0.02149123390273786,0.07088757859520703,0.020343375074701783,0.04450808779799764,0.0,0.04403549659864686,0.0,0.04882292227186355,0.01928003805170305,0.0
AC116366.3-AS-3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015370351328341223,0.002193451459094213,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010469505614567158,0.0,0.0,0.0,0.0056848418570611195,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC119396.1-AS-3,0.025160736220402755,0.05031879763130541,0.029693041924379212,0.03587600946454826,0.0,0.00820086842093483,0.04137442282254109,0.006464839913537056,0.003360275636987488,0.020646432178250008,0.042817906132903615,0.0,0.04977776856626861,0.006788357784148515,0.009019224281508526,0.014197011138682391,0.0016686634980163041,0.04191105584218931,0.016208130750340916,0.00225246011967789,0.009134176202636733,0.054376047104434715,0.010978334572698733,0.031199497080055535,0.07869051576450284,0.026330658273501457,0.004333511788455199,0.04137442282254109,0.013408968127099382,0.015059710595610107,0.012494451839624221,0.0370409110340859,0.040529547477280756,0.008610922531892636,0.0013661861223646281,0.047843750734738934,0.0370409110340859,0.009134176202636733,0.03994575085561917,0.05014078252793535,0.010978334572698733,0.06281919938083672,0.03221382019248705,0.02419388679824684,0.04363451438367403,0.016903868965672107,0.002751161002820362,0.044443884464754536,0.010106425217666443,0.0
ARHGEF5-AS-1,0.0,0.0,0.0,0.01196370490105328,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10261126492291384,0.0473511313790474,0.0,0.0,0.0,0.0,0.009533639096551172,0.0,0.0,0.07339638766646095,0.0,0.0,0.0,0.0,0.0,0.0,0.041049013960790866,0.0,0.07416995609949975,0.035457900798379884,0.0,0.0,0.1653435422636823,0.0,0.0,0.0,0.0,0.0,0.0,0.020888533324060606,0.0,0.0,0.03771300943257017,0.0
ARL6IP5-AS-1,0.0,0.0,0.0,0.07928533854590344,0.0,0.0,0.0,0.0,0.0,0.009852146420385469,0.0,0.0,0.0,0.0,0.0,0.0,0.08101033332325784,0.0,0.0,0.0,0.0,0.0,0.02339441398783934,0.0,0.0,0.09410189908397901,0.0,0.0,0.0,0.00306316399855585,0.0,0.0,0.0521529049712919,0.010239766602788532,0.016676343821799913,0.05785492799216126,0.0,0.0,0.13400470944616977,0.0669992295489317,0.0,0.0037507552502414436,0.0,0.0,0.0,0.0,0.0,0.0,0.02164036066014675,0.0
ARPC1B-AS-1,0.0,0.0,0.07906265705010053,0.017210465288398494,0.0,0.043299758707522125,0.16800561820124524,0.0,0.0,0.07082159458474335,0.0,0.0,0.0,0.0,0.022959417170961765,0.0,0.05446164468950905,0.07532620103481141,0.0,0.07351553075920866,0.0,0.0,0.026857769764883105,0.0,0.0,0.19714565172256576,0.13367884458714313,0.16800561820124524,0.04990395590824899,0.0,0.0,0.02656896571785764,0.14043067519134833,0.009633312273167553,0.03683161547426275,0.04769895431083536,0.02656896571785764,0.0,0.12137678912164873,0.0011898426783294273,0.019099961868638642,0.019590292333300553,0.007707770490044029,0.0,0.009653186530485337,0.04173449928111962,0.03979207203690626,0.0,0.10549309925979566,0.0
ATXN3-AS-1,0.0,0.0,0.05182932776659728,0.023562770731455254,0.0,0.02003360734273921,0.10041283846396357,0.0,0.0,0.0432014230368679,0.0,0.0,0.0,0.0,0.012740108355805926,0.04136722932574824,0.02649792868758678,0.05893442685068563,0.0,0.03576846242145986,0.0,0.023814535176903157,0.016346149907113514,0.0,0.04631941415462827,0.10572348300856396,0.06478267386285744,0.10041283846396357,0.028853317714149222,0.0016719009867043177,0.0,0.03159783383672114,0.08699644464027008,0.006256386109109387,0.017662338345009597,0.04515717225665812,0.03159783383672114,0.0,0.07772591090639701,0.02276269483900126,0.01231381914272853,0.0374638529622512,0.04115965808280442,0.0,0.022076172271331282,0.02692431039708265,0.04368769865671946,0.0,0.05029333806134523,0.0
BCAS3-AS-1,0.0,0.0,0.0,0.0,0.0,0.030300111094468285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004544528449336442,0.0,0.041576808698556525,0.0,0.0,0.006122821412649096,0.010033447353074088,0.0,0.055982927193113374,0.0,0.0,0.0,0.0,0.0,0.02433556331860145,0.03196242050054099,0.0,0.0,0.003479956869340259,0.04437118687672663,0.009264493282448358,0.01816653406663296,0.0,0.0,0.03893394415524768,0.018244992973808508,0.031207208579213365,0.0,0.0,0.041995867853615074,0.0,0.05313618172668026,0.0,0.0,0.01823061746004878,0.0
CHD4-AS-2,0.0,0.0,0.007787302229296692,0.060429460740055375,0.0,0.1501480447195323,0.00998363943402774,0.0669819618045652,0.010141121066275412,0.03082028353134285,0.0,0.0,0.0,0.1242866725607493,0.05318912338050427,0.00688298960820229,0.030551223195145832,0.01980874508094082,0.06252277330735483,0.04123983771218788,0.0,0.0,0.0,0.03235909992426217,0.0,0.10654003388272759,0.027959905333098396,0.00998363943402774,0.0,0.0,0.0,0.0,0.0,0.04571360905522974,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05037045152774407,0.023700544409399137,0.18503649950815965,0.0
