,ENSG00000230092.7,ENSG00000215912.12,ENSG00000116213.16,ENSG00000162408.11,ENSG00000162441.12,ENSG00000116685.16,ENSG00000142632.17,ENSG00000157191.20,ENSG00000218510.8,ENSG00000117640.18,ENSG00000158062.20,ENSG00000009780.15,ENSG00000242125.3,ENSG00000180098.9,ENSG00000221539.1,ENSG00000229388.1,ENSG00000134686.18,ENSG00000284154.1,ENSG00000146463.11,ENSG00000092853.14,ENSG00000271554.1,ENSG00000196449.4,ENSG00000214114.9,ENSG00000171960.11,ENSG00000117408.11,ENSG00000222009.8,ENSG00000085998.14,ENSG00000123472.12,ENSG00000226147.1,ENSG00000162604.12,ENSG00000162434.12,ENSG00000162433.15,ENSG00000066557.6,ENSG00000116754.13,ENSG00000162623.16,ENSG00000162613.16,ENSG00000197147.13,ENSG00000239794.3,ENSG00000067208.14,ENSG00000154511.12,ENSG00000283761.1,ENSG00000143126.8,ENSG00000213366.13,ENSG00000168679.18,ENSG00000235527.6,ENSG00000116824.5,ENSG00000134247.10,ENSG00000196369.11,ENSG00000276216.1,ENSG00000162825.16
ENSG00000230092.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04141216036752371,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05628179751366669,0.21334801970120973,0.0,0.0,0.0,0.0
ENSG00000215912.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1355994420914401,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0044623495997377916,0.19240952745549894,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1227562420359549,0.0,0.0,0.0
ENSG00000116213.16,0.009017854860060844,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024810081005821213,0.0,0.0,0.0,0.0,0.11690553150716494,0.0,0.0,0.11454784351135122,0.0,0.0,0.0,0.0,0.05136055433192946,0.0,0.0,0.2990181203436911,0.0,0.0,0.3198006374765392,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18959342630945894,0.0,0.0,0.10794551004194711,0.0,0.0,0.0,0.0
ENSG00000162408.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0674786194922285,0.010151829621491061,0.0,0.0,0.0,0.0,0.12824304509964632,0.0,0.016776605139902107,0.11724267589046558,0.0,0.0,0.0,0.23307613050116904,0.0,0.0915572663791575,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2414334557236806,0.0,0.06376042243544522,0.0,0.0,0.23037478962397487,0.0,0.0,0.0
ENSG00000162441.12,0.0,0.0,0.0,0.0,0.0,0.0,0.04507493430299517,0.0,0.0,0.0,0.0,0.0,0.0,0.007971752867044029,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15541061221082725,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000116685.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10824690703448474,0.0,0.0,0.0,0.067661613460831,0.0,0.0,0.2170274354029894,0.0,0.0,0.47264757261085133,0.0,0.0,0.1663219689947494,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.45800306595997503,0.0,0.0,0.0,0.0
ENSG00000142632.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19449213282795424,0.0,0.0,0.05196110232756154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15479811260599963,0.017818857301004316,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.020947695838509143,0.0,0.0,0.0,0.0
ENSG00000157191.20,0.05319545339720918,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.37197132293919544,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4490393903110119,0.0,0.0,0.149920873557718,0.23042667177353549,0.0,0.0,0.0,0.0,0.0
ENSG00000218510.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08060210493213918,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20278035397760988,0.0,0.0,0.0,0.0,0.0,0.004338416033968456,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000117640.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12568111742013274,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
