Gene,OnsetIndex,Rank,Percentile,Phase
ENSG00000188976.11,0,1,0.0,Phase I
ENSG00000187608.9,0,1,0.0,Phase I
ENSG00000186827.11,16,3231,92.62976770863206,Phase III
ENSG00000078808.16,0,1,0.0,Phase I
ENSG00000160087.20,0,1,0.0,Phase I
ENSG00000224051.7,0,1,0.0,Phase I
ENSG00000175756.13,0,1,0.0,Phase I
ENSG00000160072.19,0,1,0.0,Phase I
ENSG00000197785.13,18,3289,94.29308861485518,Phase IV
ENSG00000197530.12,0,1,0.0,Phase I
ENSG00000078369.18,0,1,0.0,Phase I
ENSG00000067606.17,0,1,0.0,Phase I
ENSG00000157873.17,0,1,0.0,Phase I
ENSG00000069424.14,0,1,0.0,Phase I
ENSG00000116251.11,0,1,0.0,Phase I
ENSG00000215788.10,0,1,0.0,Phase I
ENSG00000162413.16,0,1,0.0,Phase I
ENSG00000049245.13,0,1,0.0,Phase I
ENSG00000049249.8,0,1,0.0,Phase I
ENSG00000116288.13,0,1,0.0,Phase I
ENSG00000142583.17,0,1,0.0,Phase I
ENSG00000171621.14,33,3413,97.84915400057356,Phase IV
ENSG00000171608.15,0,1,0.0,Phase I
ENSG00000171603.17,0,1,0.0,Phase I
ENSG00000178585.15,0,1,0.0,Phase I
ENSG00000120948.17,0,1,0.0,Phase I
ENSG00000198793.12,0,1,0.0,Phase I
ENSG00000116661.11,18,3289,94.29308861485518,Phase IV
ENSG00000132879.14,0,1,0.0,Phase I
ENSG00000116663.11,0,1,0.0,Phase I
ENSG00000116670.15,0,1,0.0,Phase I
ENSG00000120949.15,0,1,0.0,Phase I
ENSG00000028137.19,0,1,0.0,Phase I
ENSG00000132906.18,0,1,0.0,Phase I
ENSG00000116809.11,0,1,0.0,Phase I
ENSG00000117115.13,0,1,0.0,Phase I
ENSG00000179051.14,0,1,0.0,Phase I
ENSG00000127481.15,0,1,0.0,Phase I
ENSG00000077549.18,0,1,0.0,Phase I
ENSG00000158747.14,0,1,0.0,Phase I
ENSG00000162545.6,4,3014,86.40665328362489,Phase II
ENSG00000090432.7,0,1,0.0,Phase I
ENSG00000158825.6,0,1,0.0,Phase I
ENSG00000158828.8,0,1,0.0,Phase I
ENSG00000244038.9,0,1,0.0,Phase I
ENSG00000075151.20,0,1,0.0,Phase I
ENSG00000076864.19,0,1,0.0,Phase I
ENSG00000142798.20,0,1,0.0,Phase I
ENSG00000070831.16,0,1,0.0,Phase I
ENSG00000173372.17,18,3289,94.29308861485518,Phase IV
ENSG00000159189.12,3,2996,85.89045024376254,Phase II
ENSG00000173369.16,41,3439,98.59478061370804,Phase IV
ENSG00000133216.16,17,3246,93.05993690851734,Phase III
ENSG00000142676.14,0,1,0.0,Phase I
ENSG00000179163.11,0,1,0.0,Phase I
ENSG00000185436.12,0,1,0.0,Phase I
ENSG00000020633.18,0,1,0.0,Phase I
ENSG00000157978.11,0,1,0.0,Phase I
ENSG00000117632.23,0,1,0.0,Phase I
ENSG00000176083.17,18,3289,94.29308861485518,Phase IV
ENSG00000198830.11,0,1,0.0,Phase I
ENSG00000117676.14,0,1,0.0,Phase I
ENSG00000117713.20,0,1,0.0,Phase I
ENSG00000204160.12,0,1,0.0,Phase I
ENSG00000198746.13,0,1,0.0,Phase I
ENSG00000158195.11,0,1,0.0,Phase I
ENSG00000000938.13,0,1,0.0,Phase I
ENSG00000126709.15,0,1,0.0,Phase I
ENSG00000130775.16,0,1,0.0,Phase I
ENSG00000130768.15,20,3349,96.01376541439632,Phase IV
ENSG00000169403.12,0,1,0.0,Phase I
ENSG00000204138.13,0,1,0.0,Phase I
ENSG00000180198.16,0,1,0.0,Phase I
ENSG00000198492.16,0,1,0.0,Phase I
ENSG00000162511.8,0,1,0.0,Phase I
ENSG00000162517.13,0,1,0.0,Phase I
ENSG00000121774.18,0,1,0.0,Phase I
ENSG00000025800.14,0,1,0.0,Phase I
ENSG00000084652.16,0,1,0.0,Phase I
ENSG00000182866.17,0,1,0.0,Phase I
ENSG00000116478.12,0,1,0.0,Phase I
ENSG00000116514.16,0,1,0.0,Phase I
ENSG00000116525.14,0,1,0.0,Phase I
ENSG00000126067.12,0,1,0.0,Phase I
ENSG00000119535.17,0,1,0.0,Phase I
ENSG00000163874.11,0,1,0.0,Phase I
ENSG00000134690.11,0,1,0.0,Phase I
ENSG00000174574.16,0,1,0.0,Phase I
ENSG00000183682.8,5,3079,88.27071981646114,Phase II
ENSG00000084072.16,0,1,0.0,Phase I
ENSG00000116985.12,103,3488,100.0,Phase IV
ENSG00000131236.17,0,1,0.0,Phase I
ENSG00000084073.9,0,1,0.0,Phase I
ENSG00000171793.15,0,1,0.0,Phase I
ENSG00000171960.11,0,1,0.0,Phase I
ENSG00000164010.15,0,1,0.0,Phase I
ENSG00000117394.21,0,1,0.0,Phase I
ENSG00000117400.17,0,1,0.0,Phase I
ENSG00000117399.14,0,1,0.0,Phase I
ENSG00000117410.14,0,1,0.0,Phase I
ENSG00000187147.18,0,1,0.0,Phase I
ENSG00000142945.13,0,1,0.0,Phase I
ENSG00000142937.12,0,1,0.0,Phase I
ENSG00000173846.13,0,1,0.0,Phase I
ENSG00000070785.16,0,1,0.0,Phase I
ENSG00000126107.15,0,1,0.0,Phase I
ENSG00000086015.21,0,1,0.0,Phase I
ENSG00000117461.15,0,1,0.0,Phase I
ENSG00000132128.16,0,1,0.0,Phase I
ENSG00000185104.20,0,1,0.0,Phase I
ENSG00000085832.17,0,1,0.0,Phase I
ENSG00000157193.16,0,1,0.0,Phase I
ENSG00000058804.12,0,1,0.0,Phase I
ENSG00000243725.7,0,1,0.0,Phase I
ENSG00000021852.13,4,3014,86.40665328362489,Phase II
ENSG00000184292.6,30,3405,97.6197304273014,Phase IV
ENSG00000177606.6,0,1,0.0,Phase I
ENSG00000134716.11,18,3289,94.29308861485518,Phase IV
ENSG00000079739.17,0,1,0.0,Phase I
ENSG00000185483.12,39,3428,98.27932320045883,Phase IV
ENSG00000162434.12,0,1,0.0,Phase I
